Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
MY011566,5,"Topokki, jajang sauce","Topokki, jajang sauce","Topokki, sos jajang","炸酱牛肉韩国年糕, topokki","டோபோக்கி, ஜஜாங் சாஸ், Topokki",,,,,,,,,,,"Method: as-served, conversion: 1.0, serving-image-set: MY_chee_cheong_wikozg
",CARB,RICE,RIDH,,,,,
MY011567,5,"Topokki, original","Topokki, original","Topokki, original",甜酱韩国年糕,"டோபோக்கி, அசல், Topokki",,,,,,,,,,,"Method: as-served, conversion: 1.0, serving-image-set: MY_chee_cheong_wikozg
",CARB,RICE,RIDH,,,,,
MY011568,5,"Topokki, original w cheese","Topokki, original w cheese","Topokki, original dengan keju",甜酱韩国年糕,"டோபோக்கி, அசல் ,சீஸ் உடன் , Topokki",,,,,,,,,,,"Method: as-served, conversion: 1.0, serving-image-set: MY_chee_cheong_wikozg
",CARB,RICE,RIDH,,,,,
MY011569,5,Undrallu (steamed rice ball),Undrallu (steamed rice ball),Undrallu (bebola nasi kukus),甜酱韩国年糕配奶酪,உண்ட்ரல்லு,,,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",CARB,RICE,RIDH,,,,,
MY011570,5,Venn pongal,Venn pongal,Venn pongal,印度饭，venn pongal,வெண் பொங்கல்,,,,,,,,,,,"Method: as-served, conversion: 1.0, serving-image-set: milk_pudding
Method: guide-image, conversion: 1.0, guide-image-id: MY_LadleGuide",CARB,RICE,RIDH,,,,,
MY011571,5,Yam/taro rice,Yam/taro rice,Nasi yam/taro,芋头饭,யாம்/தாரோ சோறு/Yam Rice,Singapore HPB,SIN00003665,,,,,,,,,"Method: as-served, conversion: 1.0, serving-image-set: MY_claypot_chicken_ao5b52
Method: as-served, conversion: 1.0, serving-image-set: rice, leftovers-image-set: rice_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: MY_LadleGuide",CARB,RICE,RIDH,,,,,
MY011572,5,Yangzhou fried rice,Yangzhou fried rice,Nasi goreng Yangzhou,扬州炒饭 ,Yangzhou பிரைடு ரைஸ்,Singapore HPB,SIN00001397,,,,,"COND({en: Did you have any condiments with your fried rice (eg. chilli, chilli sauce, soy sauce, garlic, soup)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"COND({ms: Adakah anda mengambil pelengkap bersama Nasi goreng Yangzhou (cth: cili, sos cili, kicap, sup)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})",COND({ta: Yangzhou பிரைடு ரைஸ் உடன் சேர்த்து மிளகாய் சாஸ்கள் / சோயா சாஸ்/ பூண்டு/ஊசிமிளகாய்/சூப் சாப்பிட்டீர்களா?}),"Method: as-served, conversion: 1.0, serving-image-set: SAB_newvegrice1, leftovers-image-set: SAB_newvegrice1_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: MY_LadleGuide",DESS,ADESS,,,,,,
MY011573,5,"Zong zi/rice dumpling, nyonya","Zong zi/rice dumpling, nyonya","Zong zi/dumpling nasi, nyonya",娘惹粽子,"Zong zi அரிசி டம்ளிங் , நொன்யா/nyonya",Singapore HPB,SIN00002186,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_ZongZi",DESS,ADESS,,,,,,
MY011574,5,"Zong zi/rice dumpling, savoury","Zong zi/rice dumpling, savoury","Zong zi/dumpling nasi, masin",咸粽子,"Zong zi அரிசி டம்ளிங் , காரமான",Singapore HPB,SIN00002793,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_ZongZi",CARB,RICE,,,,,,
MY011575,5,"Zong zi/rice dumpling, sweet","Zong zi/rice dumpling, sweet","Zong zi/dumpling nasi, manis",甜粽子,"Zong zi அரிசி டம்ளிங் , இனிப்பு",,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_ZongZi",BRED,CRUM,,,,,,
MY011601,5,Halwa,Halwa,Halwa,"印度糖果, halwa",அல்வா,,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_ZongZi",CARB,RICE,RIDH,,,,,
MY011602,5,Kaseri,Kaseri,Kaseri,"印度糖果, kaseri",கேசரி,,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_MalayKuihPlatter",SAND,,,,,,,
MY011603,5,"Puttu (steamed rice flour log), rava","Puttu (steamed rice flour log), rava","Puttu (log tepung nasi kukus), rava","印度蒸汽米粉, puttu",ரவா புட்டு,,,,,,,"SAUC({en: Did you have any condiments with your Puttu, rava, steamed rice flour log (eg. dhal, curry, chutney, brown sugar, coconut)? If you have more than one or cannot find it in the list, please go to update foods.}) 

MEAT({en: Did you have any side dishes with your Puttu, rava, steamed rice flour log (eg. fried chicken, mutton,. vegetable)? If you have more than one or cannot find it in the list, please go to update foods.})",,"SAUC{ms: Adakah anda mengambil kuah/pelengkap bersama Puttu, rava (cth.: dhal, kari, chutney, gula perang, kelapa)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".}),
MEAT({ms: Adakah anda mengambil hidangan sampingan bersama Puttu, rava(cth: ayam, kambing, sayur-sayuran)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரவா புட்டு உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ பழுப்பு சர்க்கரை/ தேங்காய்b சாப்பிட்டீர்களா?})
MEAT ({ta: ரவா புட்டு உடன் சேர்த்து  பொரித்த கோழி / ஆட்டிறைச்சி/ காய்கறிகள்  சாப்பிட்டீர்களா?})","Method: guide-image, conversion: 1.0, guide-image-id: MY_Puttu",CAKE,DGNT,,,,,,
MY011604,5,"Thosai (rice lentil pancake), rava","Thosai (rice lentil pancake), rava","Thosai (pancake lentil nasi), rava","印度酸奶煎饼/tosai, rava",ரவா தோசை,,,,,,,"SAUC({en: Did you have any condiments with your Thosai, rice lentil pancake (eg. dhal, curry, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) 

MEAT({en: Did you have any side dishes with your Thosai, rice lentil pancake (eg. fried chicken, mutton,. vegetable)? If you have more than one or cannot find it in the list, please go to update foods.})",,"SAUC{ms: Adakah anda mengambil kuah/pelengkap bersama Thosai, rava (cth.: dhal, kari, chutney, gula perang, kelapa)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".}),
MEAT({ms: Adakah anda mengambil hidangan sampingan bersama Thosai, rava (cth: ayam, kambing, sayur-sayuran)?
Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரவா தோசை  உடன் சேர்த்து பருப்பு/ கறி/ சட்னி சாப்பிட்டீர்களா?})
MEAT ({ta: ரவா தோசை  உடன் சேர்த்து  பொரித்த கோழி / ஆட்டிறைச்சி/ காய்கறிகள்  சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",SAND,,,,,,,
MY011605,5,Upma,Upma,Upma,"印度炒粗粒小麦粉, upma",உப்மா,,,,,,,,,,,"Method: as-served, conversion: 1.0, serving-image-set: MY_upma_as_n1d7sy",CAKE,DGNT,,,,,,
MY011701,5,Beef kebab (pita),Beef kebab (pita),Kebab daging (pita),牛肉串配皮塔饼面包,மாட்டிறைச்சி கபாப் (பிடா),,,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: portions, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDS,,,,,,
MY011702,5,Bonda,Bonda,Bonda,"印度油炸小吃, Bonda",போண்டா,,,,,,,CTHN({en: Did you have Chutney with your Bonda?}),,CTHN({ms: Adakah anda mengambil chutney bersama Bonda?}),CHTN({ta: போண்டா உடன் சேர்த்து சட்னி சாப்பிட்டீர்களா?}),"Method: guide-image, conversion: 1.0, guide-image-id: MY_PisangGoreng",CRPS,CRSP,,,,,,
MY011703,5,Chicken kebab (pita),Chicken kebab (pita),Kebab ayam (pita),鸡肉串配皮塔饼面包,சிக்கன் கபாப் (பிடா),,,,,,,CHIS({en: Did you have any chilli sauce with your chicken kebab (pita)?}),,CHIS({ms: Adakah anda mengambil sos cili bersama Kebab ayam (pita)?}),CHIS({ta: சிக்கன் கபாப் (பிடா) உடன் சேர்த்து மிளகாய் சாஸ்கள் சாப்பிட்டீர்களா?}),"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: portions, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDS,,,,,,
MY011704,5,Chinese fried dough/you tiao/cakoi,Chinese fried dough/you tiao/cakoi,Gorengan Cina/you tiao/cakoi,油条,சகோய்/cakoi,MyFCDCombined,212024,,,,,"CNDM({en: Did you have condensed milk with your chinese fried dough/you tiao/cakoi?}),
MY070608({en: Did you have pandan kaya with your chinese fried dough/you tiao/cakoi?}),
CHIS({en: Did you have any chilli sauce with your chinese fried dough/you tiao/cakoi?})",,"CHIS({ms: Adakah anda mengambil sos cili bersama you tiao/cakoi?}),
CNDM({ms: Adakah anda mengambil susu pekat manis bersama you tiao/cakoi?}),
MY070608({ms: Adakah anda mengambil kaya pandan bersama you tiao/cakoi?})","CNDM({ta: சகோய்/cakoi உடன் சேர்த்து கண்டன்ஸ்டு மில்க் சாப்பிட்டீர்களா?})
MY051107({ta: சகோய்/cakoi உடன் சேர்த்து காயா பான்டான் சாப்பிட்டீர்களா?})
CHIS({ta: சகோய்/cakoi உடன் சேர்த்து மிளகாய் சாஸ்கள் சாப்பிட்டீர்களா?})","Method: guide-image, conversion: 1.0, guide-image-id: MY_Chinesefrieddough",BRED,BRDS,,,,,,
MY011705,5,Dai pau/big pau,Dai pau/big pau,Dai pau (pau besar),大包子,Dai பாவ்,MyFCDCombined,403007,,,,,"CHIS({en: Did you have any chilli sauce with your Dai pau/big pau?}),",,CHIS({ms: Adakah anda mengambil sos cili bersama Dai pau?}),CHIS({ta: Dai பாவ் உடன் சேர்த்து மிளகாய் சாஸ்கள் சாப்பிட்டீர்களா?}),"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011706,5,Mamee monster,Mamee monster,Mamee monster,妈咪怪兽面,மாமி மான்ஸ்டர்/Mamee monster,,,,,,,,,,,"Method: guide-image, conversion: 0.5, guide-image-id: MY_KeropokPlatter
",BRED,FJTA,,,,,,
MY011707,5,"Mantou (chinese steamed buns), deep fried","Mantou (chinese steamed buns), deep fried","Mantou (roti kukus Cina), digoreng",炸馒头,"பொரித்தத மாண்டூ, Mantou ",,,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011708,5,"Mantou (chinese steamed buns), steamed","Mantou (chinese steamed buns), steamed","Mantou (roti kukus Cina), kukus",蒸馒头 ,"வேகவைக்கப்பட்ட மாண்டூ, Mantou ",Singapore HPB,SIN00003189,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011709,5,"Murtabak, beef","Murtabak, beef","Murtabak, daging","印度煎饼, murtabak,牛肉 ","மாட்டிறைச்சி முர்தபக், Murtabak",,,,,,,"SAUC({en: Did you have any condiments with your Murtabak (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Murtabak, daging (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: மாட்டிறைச்சி முர்தபக், Murtabak உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய் சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDS,,,,,,
MY011710,5,"Murtabak, chicken","Murtabak, chicken","Murtabak, ayam","印度煎饼, murtabak, 鸡肉","கோழி முர்தபக், Murtabak",Singapore HPB,SIN00000720,,,,,"SAUC({en: Did you have any condiments with your Murtabak (eg. dhal, curry, pickle. chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Murtabak, ayam (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: கோழி முர்தபக், Murtabak உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய் சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDS,,,,,,
MY011711,5,"Naan, butter","Naan, butter","Naan, mentega","印度面包, naan, 奶油",பட்டர் நான்,,,,,,,"SAUC({en: Did you have any condiments with your Naan (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) 
MEAT({en: Did you have any side dishes with your Naan (eg. tandoori chicken, cucumbers, onions)? If you have more than one or cannot find it in the list, please go to update foods.})",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Naan, mentega (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".}),
MEAT({ms: Adakah anda mengambil hidangan sampingan bersama Naan, mentega (cth: ayam tandoori, timun, bawang)?
Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: பட்டர் நான் உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய் சாப்பிட்டீர்களா?})
MEAT ({ta: பட்டர் நான்  உடன் சேர்த்து  தந்தூரி சிக்கன் / வெள்ளரிகள் / வெங்காயம்  சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDS,,,,,,
MY011712,5,"Naan, cheese","Naan, cheese","Naan, keju","印度面包, naan, 奶酪",சீஸ் நான்,,,,,,,"SAUC({en: Did you have any condiments with your Naan (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) 
MEAT({en: Did you have any side dishes with your Naan (eg. tandoori chicken, cucumbers, onions)? If you have more than one or cannot find it in the list, please go to update foods.})",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Naan, keju (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".}),
MEAT({ms: Adakah anda mengambil hidangan sampingan bersama Naan, keju (cth: ayam tandoori, timun, bawang)?
Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: சீஸ் நான் உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய் சாப்பிட்டீர்களா?})
MEAT ({ta: சீஸ் நான்  உடன் சேர்த்து  தந்தூரி சிக்கன் / வெள்ளரிகள் / வெங்காயம்  சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDS,,,,,,
MY011716,5,"Pau/boazi, char siu (chinese bbq pork)","Pau/boazi, char siu (chinese bbq pork)","Pau/boazi, char siu (daging BBQ Cina)",叉烧包 ,"char siu பாவ், pau",MyFCDCombined,403008,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter",BRED,BRDS,,,,,,
MY011717,5,"Pau/boazi, kaya (coconut jam)","Pau/boazi, kaya (coconut jam)","Pau/boazi, kaya (jem kelapa)",咖椰包 ,காயா பாவ்/pau,,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter",BRED,BRDS,,,,,,
MY011718,5,"Pau/boazi,, lotus paste","Pau/boazi,, lotus paste","Pau/boazi, pes lotus",莲蓉包,"தாமரை விழுது பாவ், pau",MyFCDCombined,212010,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter",BRED,CRUM,,,,,,
MY011719,5,"Pau/boazi,, minced pork/sang yok pau","Pau/boazi,, minced pork/sang yok pau","Pau/boazi, daging babi cincang/sang yok pau",生肉包,துண்டு துண்தாக வெட்டப்பட்ட பன்றி இறைச்சி Pau/sang yok pau,MyFCDCombined,403009,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter",BRED,CRUM,,,,,,
MY011720,5,"Pau/boazi,, pork belly","Pau/boazi,, pork belly","Pau/boazi, perut babi",五花肉包,"pork belly பாவ், pau",,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter",BRED,CRUM,,,,,,
MY011721,5,"Pau/boazi,, salted egg yolk","Pau/boazi,, salted egg yolk","Pau/boazi, kuning telur masin",咸蛋黄包,"உப்பு முட்டை மஞ்சள் கரு பாவ், Pau",,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PauPlatter",BRED,BRDR,,,,,,
MY011723,5,Popiah (spring rolls) w egg/nyonya popiah,Popiah (spring rolls) w egg/nyonya popiah,Popiah (spring roll) dengan telur/popiah nyonya,"芒光薄饼, popiah, 配蛋包","பொபியா ,Popiah, முட்டை உடன், nyonya",,,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDR,,,,,,
MY011724,5,Popiah (spring rolls) w pork lard,Popiah (spring rolls) w pork lard,Popiah (spring roll) dengan lemak babi,"芒光薄饼, popiah, 配猪油","பொபியா ,Popiah, பன்றி இறைச்சி கொழுப்பு உடன் ",Singapore HPB,SIN00002551,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDR,,,,,,
MY011725,5,"Popiah (spring rolls), fresh","Popiah (spring rolls), fresh","Popiah (spring roll), segar","芒光薄饼, popiah","போபியா,Popiah, புதியது",MyFCDCombined,213028,,,,,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,BRDR,,,,,,
MY011727,5,"Pretzels, plain","Pretzels, plain","Pretzel, kosong","椒盐脆饼 , pretzels, 原味","ப்ரீட்ஸெல்ஸ், Pretzels, வெற்று",Singapore HPB,SIN00002707,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PretzelsandBreadstick",CARB,RICE,,,,,,
MY011728,5,"Pretzels, savoury flavour","Pretzels, savoury flavour","Pretzel, rasa masin","椒盐脆饼, pretzels, 咸味","ப்ரீட்ஸெல்ஸ், Pretzels, காரமான",,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PretzelsandBreadstick",BRED,FJTA,,,,,,
MY011729,5,"Pretzels, sweet flavour","Pretzels, sweet flavour","Pretzel, rasa manis","椒盐脆饼, pretzels, 甜味","ப்ரீட்ஸெல்ஸ், Pretzels, இனிப்பு",,,,,,,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: MY_PretzelsandBreadstick",BRED,FJTA,,,,,,
MY011730,5,"Puttu (steamed rice flour log), wheat","Puttu (steamed rice flour log), wheat","Puttu (log tepung nasi kukus), gandum","小麦印度蒸汽米粉, puttu",கோதுமை புட்டு,,,,,,,"SAUC({en: Did you have any condiments with your Puttu, rava, steamed rice flour log (eg. dhal, curry, chutney, brown sugar, coconut)? If you have more than one or cannot find it in the list, please go to update foods.}) 

MEAT({en: Did you have any side dishes with your Puttu, rava, steamed rice flour log (eg. fried chicken, mutton,. vegetable)? If you have more than one or cannot find it in the list, please go to update foods.})",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Puttu, gandum (cth: dhal, kari, chutney, gula perang, kelapa)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".}),
MEAT({ms: Adakah anda mengambil hidangan sampingan bersama Puttu, gandum (cth: ayam, kambing, sayur-sayuran)?
Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: கோதுமை புட்டு உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ பழுப்பு சர்க்கரை/ தேங்காய்b சாப்பிட்டீர்களா?})
MEAT ({ta: கோதுமை புட்டு உடன் சேர்த்து  பொரித்த கோழி / ஆட்டிறைச்சி/ காய்கறிகள்  சாப்பிட்டீர்களா?})","Method: guide-image, conversion: 1.0, guide-image-id: MY_Puttu",BRED,FJTA,,,,,,
MY011731,5,Rojak mamak/pasembur,Rojak mamak/pasembur,Rojak mamak/pasembur,"印度罗惹, Rojak/Pasembur","ரோஜாக் பாசெம்பூர் Rojak, pasembur",,,,,,,"MY040915({en: Did you have additonal satay sauce/kuah kacang with your rojak mamak/pasembur?})
",,MY040915({ms: Adakah anda mengambil kuah satay / kuah kacang bersama Rojak mamak/pasembur?}),"MY040915({ta: ரோஜாக் பாசெம்பூர் Rojak, pasembur உடன் சேர்த்து குவா கசாங் சாப்பிட்டீர்களா?}),","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011732,5,Roti bom,Roti bom,Roti bom,"印度煎饼, roti canai, bom","ரொட்டி பூம், Roti Bom",,,,,,,"SAUC({en: Did you have any condiments with your Roti canai (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Roti bom (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரொட்டி பூம், Roti Bom உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய்/ சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011733,5,Roti canai,Roti canai,Roti canai,"印度煎饼, roti canai","ரொட்டி சானை, Roti Canai",MyFCDCombined,221023,,,,,"SAUC({en: Did you have any condiments with your Roti canai (eg. dhal, curry, pickle, chutney, sugar)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Roti canai (cth: dhal, kari, chutney, jeruk, gula)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரொட்டி சானை, Roti Canai உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய்/ சர்க்கரை சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011734,5,"Roti canai, bawang","Roti canai, bawang","Roti canai, bawang","印度煎饼, roti canai, 葱头","வெங்காய ரொட்டி சானை, Roti canai bawang",,,,,,,"SAUC({en: Did you have any condiments with your Roti canai (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Roti canai, bawang (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: வெங்காய ரொட்டி சானை, Roti canai bawang உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய்/ சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011735,5,"Roti canai, kaya","Roti canai, kaya","Roti canai, kaya","印度煎饼, roti canai, 咖椰","ரொட்டி சானை காயா, Roti canai, kaya",,,,,,,"SAUC({en: Did you have any condiments with your Roti canai (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Roti canai, kaya (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரொட்டி சானை காயா, Roti canai, kaya உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய்/ சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,CRUM,,,,,,
MY011736,5,"Roti canai, planta","Roti canai, planta","Roti canai, planta","印度煎饼, roti canai, planta","ரொட்டி சானை பிலாந்த, Roti canai, planta",,,,,,,"SAUC({en: Did you have any condiments with your Roti canai (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/sos bersama Roti canai, planta (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரொட்டி சானை பிலாந்த, Roti canai, planta உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய்/ சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
MY011737,5,"Roti canai, sardine","Roti canai, sardine","Roti canai, sardin","印度煎饼, roti canai, 沙丁鱼","ரொட்டி சானை சார்டின், Roti canai, sardine",,,,,,,"SAUC({en: Did you have any condiments with your Roti canai (eg. dhal, curry, pickle, chutney)? If you have more than one or cannot find it in the list, please go to update foods.}) ",,"SAUC{ms: Adakah anda mengambil kuah/pelengkap bersama Roti canai, sardin (cth: dhal, kari, chutney, jeruk)? Jika terdapat lebih dari satu atau tidak menemui didalam senarai ini, sila ke ""sunting makanan"".})","SAUC({ta: ரொட்டி சானை சார்டின், Roti canai, sardine உடன் சேர்த்து பருப்பு/ கறி/ சட்னி/ ஊறுகாய்/ சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 3.5, unit0-omit-food-description: false",BRED,FJTA,,,,,,
